"","V0","V1","V2"
"1","aahed",13022,4
"2","aalii",13920,3
"3","aalst",14036,4
"4","aalto",13524,4
"5","aaron",13794,4
"6","abaca",13075,3
"7","abaci",11722,4
"8","aback",10133,4
"9","abaft",10610,4
"10","abamp",10420,4
"11","abase",14516,4
"12","abash",12048,4
"13","abate",13532,4
"14","abaya",12889,3
"15","abbey",9958,4
"16","abbot",9626,4
"17","abeam",12803,4
"18","abele",13525,4
"19","abhor",10222,5
"20","abide",11546,5
"21","abies",13163,5
"22","abila",12512,4
"23","abney",10892,5
"24","abode",11584,5
"25","abohm",9020,5
"26","abort",11073,5
"27","about",10169,5
"28","above",10770,5
"29","abuja",9779,4
"30","abuse",12298,5
"31","abuts",10681,5
"32","abuzz",6331,4
"33","abyla",11265,4
"34","abysm",9570,5
"35","abyss",11283,4
"36","acari",13169,4
"37","accho",9469,4
"38","accra",12108,3
"39","acerb",11591,5
"40","ached",10608,5
"41","aches",12225,5
"42","acids",11260,5
"43","acini",11303,4
"44","ackee",12554,4
"45","acned",11419,5
"46","acold",10477,5
"47","acorn",11380,5
"48","acres",13549,5
"49","acrid",10749,5
"50","acris",12366,5
"51","acted",11459,5
"52","actin",10869,5
"53","actor",11420,5
"54","actus",11028,5
"55","acute",11661,5
"56","adage",12857,4
"57","adams",12511,4
"58","adana",14003,3
"59","adapa",13277,3
"60","adapt",11490,4
"61","addax",9964,3
"62","added",10820,3
"63","adder",11926,4
"64","addis",11254,4
"65","addle",11616,4
"66","adept",11320,5
"67","adieu",12089,5
"68","adige",11504,5
"69","adios",12359,5
"70","aditi",11337,4
"71","adlai",12853,4
"72","adman",11487,4
"73","admit",10174,5
"74","admix",8515,5
"75","adobe",11584,5
"76","adobo",10439,4
"77","adolf",9799,5
"78","adopt",10175,5
"79","adore",13031,5
"80","adorn",11374,5
"81","adult",10201,5
"82","adust",11022,5
"83","advil",9619,5
"84","adyta",11443,4
"85","aecia",14313,4
"86","aedes",14687,4
"87","aegir",12610,5
"88","aegis",13121,5
"89","aerie",15243,4
"90","aesir",14610,5
"91","aesop",13409,5
"92","afars",13041,4
